text,intent;
I purchased something overseas and the incorrect exchange rate was applied.,card_payment_wrong_exchange_rate;
The exchange rate is incorrect for my payment.,card_payment_wrong_exchange_rate;
The item i bought exchanged rate was incorrect.,card_payment_wrong_exchange_rate;
Im on holiday and I noticed a different amount for exchange rate.  Can you explain?,card_payment_wrong_exchange_rate;
I bought something in another country but the exchange rate is wrong,card_payment_wrong_exchange_rate;
I bought an item and the exchange rate was wrong.,card_payment_wrong_exchange_rate;
Exchange rate for my card payment is wrong,card_payment_wrong_exchange_rate;
the exchange rate at which my card payment is at is wrong,card_payment_wrong_exchange_rate;
There was a problem with the exchange rate on a purchase.,card_payment_wrong_exchange_rate;
I recently purchased something\, and the exchange rate was wrong.,card_payment_wrong_exchange_rate;
What if there is an error on the exchange rate?,card_payment_wrong_exchange_rate;
Why is my exchange rate wrong?,card_payment_wrong_exchange_rate;
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,card_payment_wrong_exchange_rate;
I used foreign currency to buy something and I think the rate applied is incorrect.,card_payment_wrong_exchange_rate;
This exchange rate on my purchase is wrong.,card_payment_wrong_exchange_rate;
Why is your exchange rate so bad?,card_payment_wrong_exchange_rate;
The exchange rate looks wrong on a holiday purchase,card_payment_wrong_exchange_rate;
I purchased something abroad\, and the exchange rate that was applied was wrong.,card_payment_wrong_exchange_rate;
I bought something and I take issue with the exchange rate applied.,card_payment_wrong_exchange_rate;
I think there has been a mistake on my exchange rate for this purchase.,card_payment_wrong_exchange_rate;
You did not give me the correct exchange rate for an item that I bought.,card_payment_wrong_exchange_rate;
I checked on google and the exchange rate you are using is really bad. Can you update it?,card_payment_wrong_exchange_rate;
I seem to have been charged to much for my holiday purchases\, the exchange rate is wrong.,card_payment_wrong_exchange_rate;
In regards to my card payment\, the exchange rate is incorrect.,card_payment_wrong_exchange_rate;
I bough an item and the exchange rate was incorrect.,card_payment_wrong_exchange_rate;
Why did you charge me more for my purchase? It was a foreign currency and you didnt offer market rate,card_payment_wrong_exchange_rate;
I question todays exchange rate for rubles into pounds. I was hoping for a better return.,card_payment_wrong_exchange_rate;
I feel as though I have been over charged for the exchange rate on my payment on last Saturday.,card_payment_wrong_exchange_rate;
My currency rate is inaccurate.,card_payment_wrong_exchange_rate;
The currency exchange rate was wrong for a purchase I made.,card_payment_wrong_exchange_rate;
I purchased something abroad and the incorrect exchange rate was applied.,card_payment_wrong_exchange_rate;
Your exchange rate was off.  I was charged extra on my payment that I made last Saturday.,card_payment_wrong_exchange_rate;
I was charged the wrong exchange rate on a purchase,card_payment_wrong_exchange_rate;
Can you change the rate for the item I bought in a different currency as it is wrong?,card_payment_wrong_exchange_rate;
The currency exchange for my purchase in foreign currency is incorrect.,card_payment_wrong_exchange_rate;
I noticed the currency exchange rate was incorrect after paying for something in a foreign country.,card_payment_wrong_exchange_rate;
My foreign currency exchange has been applied incorrectly.,card_payment_wrong_exchange_rate;
Why isnt my purchase exchange rate correct?,card_payment_wrong_exchange_rate;
I noticed that the exchange rate applied to a recent purchase I made abroad was incorrect.,card_payment_wrong_exchange_rate;
I purchased something while traveling\, and the exchange rate applied was wrong.,card_payment_wrong_exchange_rate;
Why is the exchange rate different on my recent purchase?,card_payment_wrong_exchange_rate;
The fee charged when I changed rubles into British pounds was too much.,card_payment_wrong_exchange_rate;
I wasnt charged the correct exchange rate for an item I purchased.,card_payment_wrong_exchange_rate;
Does the fee for exchange change?,card_payment_wrong_exchange_rate;
The rate applied to my purchase in a foreign currency was wrong.,card_payment_wrong_exchange_rate;
I bought something while traveling\, and the exchange rate was wrong.,card_payment_wrong_exchange_rate;
something is wrong with my exchange rate charge,card_payment_wrong_exchange_rate;
Seems like the exchange rate for my payment last Saturday was wrong. I was charged extra.,card_payment_wrong_exchange_rate;
It seems that something went wrong with my exchange. I changed Russian Ruble into UK pounds but have been charged entirely too much!,card_payment_wrong_exchange_rate;
I bought an item then noticed the exchange rate was wrong.,card_payment_wrong_exchange_rate;
The exchange rate applied is wrong for my international purchase.,card_payment_wrong_exchange_rate;
My card payment had the wrong exchange rate,card_payment_wrong_exchange_rate;
They used the wrong rate when I made a purchase with foreign currency.,card_payment_wrong_exchange_rate;
Does the exchange rate change each day for purchases? There is a different rate on my purchase.,card_payment_wrong_exchange_rate;
It seems that the rate I got is incorrect.,card_payment_wrong_exchange_rate;
I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,card_payment_wrong_exchange_rate;
Was I charged more than I should of been for a currency exchange?,card_payment_wrong_exchange_rate;
What do i do if the exchange rate was wrong for the item i bought overseas?,card_payment_wrong_exchange_rate;
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,card_payment_wrong_exchange_rate;
I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,card_payment_wrong_exchange_rate;
What is your exchange rate between UK pounds and Russian rubles for my last transaction,card_payment_wrong_exchange_rate;
I think there was an error in your exchange rate.,card_payment_wrong_exchange_rate;
The exchange rate was not correct for the item I bought.,card_payment_wrong_exchange_rate;
I noticed an extra charge on the purchase that I made last Saturday on my account. Can you see if I received the correct exchange rate?,card_payment_wrong_exchange_rate;
My exchange seems to have something wrong with it. I changed over Russian Ruble to UK pounds and it appears I was charged way more than I was supposed to be.,card_payment_wrong_exchange_rate;
The correct exchange rate wasnt given to me for an item I purchased.,card_payment_wrong_exchange_rate;
I bought something in another currency\, but the exchange rate was incorrect.,card_payment_wrong_exchange_rate;
the exchange rate is wrong from something I got in another country,card_payment_wrong_exchange_rate;
The exchange rate given to me after a purchase\, was incorrect,card_payment_wrong_exchange_rate;
My card payment has the wrong exchange rate,card_payment_wrong_exchange_rate;
I have been charged way to much so something is apparently wrong with my exchange. I changed Russian Ruble into UK pounds.,card_payment_wrong_exchange_rate;
Why is the exchange rate different from what I expected?,card_payment_wrong_exchange_rate;
The exchange rate you are using is really bad.This cant be the official interbank exchange rate.,card_payment_wrong_exchange_rate;
Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,card_payment_wrong_exchange_rate;
Why was I charged extra on my last UK pound to Russian ruble exchange?,card_payment_wrong_exchange_rate;
The wrong exchange rate was used when I purchased an item.,card_payment_wrong_exchange_rate;
Why was the wrong rate applied when I bought something in a different currency?,card_payment_wrong_exchange_rate;
I bought something abroad and the exchange rate applied is wrong,card_payment_wrong_exchange_rate;
An item I bought had the wrong exchange rate applied.,card_payment_wrong_exchange_rate;
I think the rate that was applied to my purchase using foreign currency is wrong. Help!,card_payment_wrong_exchange_rate;
Why was my exchange rate a different amount than usual?,card_payment_wrong_exchange_rate;
I want to change the wrong exchange rate.,card_payment_wrong_exchange_rate;
I recently bought something abroad but the exchange rate is incorrect. Why?,card_payment_wrong_exchange_rate;
The exchange rate youre using is terrible - this cant be the official interbank exchange rate\, can it?,card_payment_wrong_exchange_rate;
I did not receive the correct amount for the exchange rate.,card_payment_wrong_exchange_rate;
I guess exchange rate for my payment was not correct\, as i charged extra on the last saturday.,card_payment_wrong_exchange_rate;
The exchange rate for my payment last Saturday must be wrong because I was charged extra.,card_payment_wrong_exchange_rate;
